n_region,n_region_to,transfer
2,1,0.0259018848951061
3,1,0.0126780614975994
4,1,0.0403153523363049
5,1,0.00930966322890333
6,1,0.000154112847680804
9,1,0.000144510655380533
10,1,0.00169780584753632
11,1,0.000815747640685747
12,1,0.000627416762951906
13,1,0.000463045106217461
14,1,0.00435940294439094
16,1,0.00067781340888091
18,1,0.00124577454937877
21,1,0.000311704047232326
22,1,0.00030552812991969
26,1,0.00022824842206309
28,1,0.000269168690945574
29,1,0.000690842749772954
31,1,0.000656470999618549
32,1,0.000113925910535538
36,1,0.000249443721688862
37,1,0.000802163260483102
40,1,0.000296037112870153
43,1,0.000237244878858239
44,1,0.00028106944681809
45,1,0.0204420402292912
46,1,0.000103435405670582
47,1,0.000581622782717081
48,1,0.000307261942476737
49,1,0.000872037497109427
51,1,0.00103028709073899
53,1,0.000617550769014066
54,1,0.000100746010605903
56,1,0.000109663632886046
125,1,0.00036513829499906
126,1,0.0017205410911883
127,1,0.00044594041504819
128,1,0.000147999020635193
129,1,0.000107349686512065
130,1,0.000253681033492075
131,1,0.000187286621420871
132,1,0.000172739210762523
133,1,0.000217424073683063
134,1,0.000201352414693379
135,1,0.000505203751901772
136,1,0.000280436820325957
137,1,0.000391426357775539
138,1,0.000350051216671735
139,1,0.000369747003729609
140,1,0.00157889644238485
141,1,0.00028794932908703
142,1,0.000373045398101216
143,1,0.00014186392505973
144,1,0.000226428476018414
145,1,0.000157616820335714
147,1,0.00037680386138816
149,1,0.00026749415957615
58,1,0.000104859413355567
59,1,0.000827621440654748
62,1,0.000532867535660836
63,1,0.000475812815954937
65,1,0.000168344247616275
67,1,0.000131172624840694
68,1,0.000639314857585841
71,1,0.000308284140555065
72,1,0.000403060595599919
73,1,0.000191801355584956
74,1,0.000754669300871506
75,1,0.000543029296716331
76,1,0.00782110747616099
77,1,0.00239352626767401
78,1,0.00410184009494034
79,1,0.00676550220700701
80,1,0.000227937026394665
82,1,0.000124068388755617
86,1,0.000226894851522995
87,1,0.00055330647934289
89,1,0.000543792852832745
90,1,0.00125174508580605
91,1,0.000341262525920047
92,1,0.00415893150825931
94,1,0.000250591205194564
95,1,0.000962572745502673
96,1,0.000183042068285082
97,1,0.000120194793733552
98,1,0.000214630243015214
99,1,0.000257326726968516
100,1,0.000176271994871733
101,1,0.000479575738915809
102,1,0.000138374924764654
103,1,0.000213541587047247
104,1,0.000108952234898518
105,1,0.00052554542593397
107,1,0.000383607371585252
108,1,0.000194141970935428
109,1,0.000367916800093711
112,1,0.000223258967770969
116,1,0.000394022234087964
119,1,0.000312444792030009
121,1,0.000180717437491575
1,2,0.0328191681906825
3,2,0.162774651641593
4,2,0.118109801065657
5,2,0.0273704098929758
6,2,0.000154112847680804
7,2,0.000477502757972022
8,2,0.000533160807897447
9,2,0.00144510655380533
10,2,0.00246953577823465
11,2,0.00186456603585314
12,2,0.00112935017331343
13,2,0.000694567659326192
14,2,0.00616002589968285
15,2,0.00186882606109139
16,2,0.00271125363552364
18,2,0.00243222650116807
19,2,0.000619710115503866
21,2,0.000701334106272734
22,2,0.000611056259839379
23,2,0.000257552974488975
24,2,0.000834876937942059
25,2,0.000277921019015114
26,2,0.000836910880897997
28,2,0.000179445793963716
29,2,0.00078953457116909
30,2,0.00168575325971228
31,2,0.00393882599771129
32,2,0.000911407284284303
33,2,0.000573114157015813
34,2,0.000161056086676708
35,2,0.000378585725596444
36,2,0.000748331165066585
37,2,0.000668469383735919
38,2,0.000132194965408325
39,2,0.000229929334010331
40,2,0.000962120616827998
41,2,0.000137092384277766
42,2,0.00186290397427137
43,2,0.000711734636574716
44,2,0.00028106944681809
45,2,0.0130153907514936
46,2,0.000724047839694075
47,2,0.00133773240024929
48,2,0.000122904776990695
50,2,0.00027770488824071
51,2,0.000114476343415443
52,2,0.00040797961894511
53,2,0.00302599876816893
54,2,0.000352611037120662
55,2,0.000157962108124312
56,2,0.000511763620134883
125,2,0.00054770744249859
126,2,0.00200062917580035
127,2,0.000594587220064253
128,2,0.000123332517195994
129,2,0.00035783228837355
130,2,0.000467307166959085
131,2,0.000499430990455656
132,2,0.000302293618834416
133,2,0.000418123218621275
134,2,0.000289444096121732
135,2,0.00109189197991673
136,2,0.00058891732268451
137,2,0.00109599380177151
138,2,0.000656346031259503
139,2,0.000765904507725618
140,2,0.0110844974730691
141,2,0.000863847987261091
142,2,0.000430436997809095
143,2,0.000248261868854528
144,2,0.000747213970860767
145,2,0.000394042050839285
146,2,0.000283329021508688
147,2,0.000205529378938996
148,2,0.000299628158187228
57,2,0.00131814635675549
58,2,0.00073401589348897
59,2,0.00158327579951343
60,2,0.00058908336987011
61,2,0.000804697155133134
62,2,0.00190309834164584
63,2,0.000339866297110669
64,2,0.00105659350918937
65,2,0.000168344247616275
66,2,0.000665149190305609
68,2,0.0015982871439646
70,2,0.000144962678387479
71,2,0.000678225109221142
72,2,0.000725509072079854
73,2,0.0017262122002646
74,2,0.00120747088139441
75,2,0.0013915125728356
76,2,0.0170760846562848
77,2,0.00373390097757145
78,2,0.00582196658636693
79,2,0.00827694418942347
80,2,0.00120981960163322
81,2,0.00105420212090628
82,2,0.000372205166266851
83,2,0.000425425030894216
85,2,0.00125544274487592
86,2,0.00105884264044064
87,2,0.00265587110084587
88,2,0.00113493890921997
89,2,0.00172201070063703
90,2,0.00390544466771489
91,2,0.00295760855797374
92,2,0.00554524201101241
93,2,0.00242839213130608
94,2,0.000651537133505867
95,2,0.000481286372751337
96,2,0.000488112182093552
97,2,0.000360584381200657
98,2,0.0015024117011065
99,2,0.000514653453937032
100,2,0.00135141862734995
101,2,0.00101909844519609
102,2,0.00069187462382327
103,2,0.000427083174094493
104,2,0.000217904469797035
105,2,0.000300311671962269
106,2,0.000475493877312498
107,2,0.000153442948634101
108,2,0.000582425912806285
109,2,0.00103016704026239
110,2,0.000564184765191522
111,2,0.000254966455046582
112,2,0.000223258967770969
113,2,0.000745682579717296
114,2,0.000392995863250939
115,2,0.000193724760620708
116,2,0.00174495560810384
117,2,0.00143933951687408
118,2,0.000403702999423915
119,2,0.000749867500872022
120,2,0.00105905346966808
121,2,0.000481913166644199
122,2,0.00122755106895945
123,2,0.00127359276099439
1,3,0.0106555740878839
2,3,0.169282264123207
4,3,0.0442658516858423
5,3,0.0148954611662453
7,3,0.000191001103188809
9,3,0.000867063932283196
10,3,0.00108042190297766
11,3,0.00238897523343683
12,3,0.00100386682072305
13,3,0.000694567659326192
14,3,0.00682341330426408
15,3,0.000622942020363796
16,3,0.000225937802960303
18,3,0.00100848415902091
19,3,0.000309855057751933
20,3,0.00033086215134755
21,3,0.000389630059040408
22,3,0.000916584389759069
23,3,0.000558031444726113
24,3,0.000278292312647353
25,3,0.000208440764261335
26,3,0.000608662458834906
28,3,0.000179445793963716
29,3,0.00078953457116909
31,3,0.000218823666539516
33,3,0.000501474887388836
35,3,0.00088336669305837
36,3,0.000623609304222154
37,3,0.000802163260483102
40,3,0.000148018556435077
41,3,0.000342730960694416
43,3,0.000474489757716477
45,3,0.00663897453318264
46,3,0.000672330136858784
47,3,0.000465298226173665
48,3,0.00024580955398139
49,3,0.000488340998381279
50,3,0.00027770488824071
51,3,0.00114476343415443
52,3,0.000611969428417665
53,3,0.00209967261464783
54,3,0.000100746010605903
55,3,0.000526540360414373
56,3,0.000438654531544185
125,3,0.000212997338749451
126,3,0.00124039008899622
127,3,0.000346842545037481
128,3,0.000123332517195994
129,3,0.00028626583069884
130,3,0.000253681033492075
131,3,0.000593074301166091
132,3,0.000561402434978201
133,3,0.00033449857489702
134,3,0.000201352414693379
135,3,0.00066817270412815
136,3,0.000673048368782297
137,3,0.00182665633628585
138,3,0.00063446783021752
139,3,0.000739494007459218
140,3,0.0130178400555812
141,3,0.000623890213021899
142,3,0.000401741197955156
143,3,0.00014186392505973
144,3,0.000203785628416573
145,3,0.000472850461007142
146,3,0.000249996195448842
147,3,0.00037680386138816
148,3,0.000207434878745004
149,3,0.000300930929523169
57,3,0.000208128372119288
59,3,0.00118745684963507
61,3,0.000715286360118341
62,3,0.00121798293865334
63,3,0.000271893037688535
64,3,0.000528296754594685
65,3,0.000420860619040687
66,3,0.000483744865676806
68,3,0.000679272036184956
69,3,0.000110425627445338
71,3,0.000246627312444052
72,3,0.000967345429439805
73,3,0.00127867570389971
74,3,0.000528268510610054
75,3,0.000950301269253579
76,3,0.00827733874560371
77,3,0.00153185681131136
78,3,0.00145549164659173
79,3,0.00403051195311056
80,3,0.000298071496054562
81,3,0.000896071802770336
87,3,0.00140170974766866
88,3,0.00085120418191498
89,3,0.00231111962453917
90,3,0.00302922310765065
91,3,0.00170631262960023
92,3,0.00168337703905734
94,3,0.000100236482077826
95,3,0.000882358350044117
96,3,0.000122028045523388
97,3,0.000420681778067433
99,3,0.000874910871692955
101,3,0.000119893934728952
102,3,0.000553499699058616
103,3,0.000569444232125991
108,3,0.000388283941870857
110,3,0.000483586941592733
112,3,0.000334888451656454
113,3,0.000807822794693737
114,3,0.000523994484334586
115,3,0.000193724760620708
116,3,0.000337733343503969
118,3,0.000504628749279894
119,3,0.000312444792030009
120,3,0.000770220705213151
122,3,0.000361044432046896
123,3,0.000242589097332264
124,3,0.000148213283049817
1,4,0.0867363730753751
2,4,0.179756250364944
3,4,0.0711137242623968
5,4,0.0798769105039905
6,4,0.000308225695361609
7,4,0.00105050606753845
8,4,0.000666451009871809
9,4,0.000867063932283196
10,4,0.00385864965349164
11,4,0.00180629834723273
12,4,0.00175676693626534
13,4,0.00208370297797858
14,4,0.00691818293348997
15,4,0.000700809772909271
16,4,0.000451875605920607
17,4,0.00296435354316832
18,4,0.00148306493973663
20,4,0.00033086215134755
21,4,0.000311704047232326
22,4,0.000407370839892919
23,4,0.000386329461733463
25,4,0.000347401273768892
26,4,0.00129340772502418
28,4,0.000538337381891148
29,4,0.00207252824931886
30,4,0.000561917753237426
31,4,0.000875294666158065
32,4,0.00125318501589092
33,4,0.000358196348134883
34,4,0.000161056086676708
35,4,0.000630976209327407
36,4,0.000748331165066585
37,4,0.00227279590470212
38,4,0.000793169792449948
39,4,0.000229929334010331
40,4,0.00170221339900338
41,4,0.000411277152833299
42,4,0.000186290397427138
43,4,0.000474489757716477
44,4,0.000562138893636181
45,4,0.0230301150473115
46,4,0.000568894731188202
47,4,0.000465298226173665
48,4,0.000307261942476737
49,4,0.000313933498959394
50,4,0.000952131045396719
51,4,0.00103028709073899
52,4,0.000203989809472555
53,4,0.00253195815295767
54,4,0.000251865026514759
55,4,0.000105308072082875
56,4,0.000731090885906975
125,4,0.000973702119997492
126,4,0.00164051592415629
127,4,0.00061936168756693
128,4,0.000345331048148783
129,4,0.000250482601861485
130,4,0.000761043100476224
131,4,0.000343358805938263
132,4,0.000446242961136519
133,4,0.0008195215084977
134,4,0.00081799418469185
135,4,0.000896329237245079
136,4,0.000841310460977871
137,4,0.00130475452591847
138,4,0.000612589629175536
139,4,0.000686673006926417
140,4,0.0122767253989516
141,4,0.00105581420665244
142,4,0.000832178195764251
143,4,0.000390125793914258
144,4,0.000543428342444194
145,4,0.000262694700559523
146,4,0.00053332521695753
147,4,0.000650843033306822
148,4,0.000368773117768896
149,4,0.000133747079788075
57,4,0.000555008992318101
58,4,0.00104859413355567
59,4,0.00205106183118785
60,4,0.000504928602745809
61,4,0.000715286360118341
62,4,0.00129410687231917
63,4,0.000339866297110669
64,4,0.000616346213693799
65,4,0.000589204866656963
66,4,0.000483744865676806
67,4,0.000131172624840694
68,4,0.00147841560816726
69,4,0.000993830647008043
70,4,0.000434888035162436
72,4,0.00145101814415971
73,4,0.00191801355584956
74,4,0.000905603161045806
75,4,0.00156120922805945
76,4,0.0209866383943653
77,4,0.00411686518039929
78,4,0.00489574462944492
79,4,0.00921259874996699
80,4,0.000385739583129433
81,4,0.00110691222695159
82,4,0.000682376138155894
83,4,0.000546975039721134
84,4,0.00018389631566221
85,4,0.00090670864907705
86,4,0.000605052937394653
87,4,0.00202879042425726
88,4,0.00151325187895996
89,4,0.00113290177673489
90,4,0.00453131721061792
91,4,0.000682525051840093
92,4,0.00524817547470817
93,4,0.000280199092073779
94,4,0.000250591205194564
95,4,0.000962572745502673
96,4,0.000488112182093552
97,4,0.00078126615926809
98,4,0.00078697755772245
99,4,0.000205861381574813
100,4,0.000940117305982576
101,4,0.000539522706280285
102,4,0.000415124774293962
103,4,0.000854166348188986
104,4,0.000544761174492588
105,4,0.000450467507943403
106,4,0.000713240815968746
107,4,0.000383607371585252
108,4,0.000582425912806285
109,4,0.00154525056039359
110,4,0.00104777170678426
111,4,0.000254966455046582
112,4,0.00133955380662582
113,4,0.000869963009670178
114,4,0.00130998621083646
115,4,0.000387449521241416
116,4,0.000562888905839948
117,4,0.000719669758437039
118,4,0.000302777249567936
119,4,0.00137475708493204
120,4,0.000577665528909863
121,4,0.000843348041627348
122,4,0.000577671091275034
